proj_ID,seq_no,time,estimate,let_date,length,winner,win_amt,num_bids,bid_spread,compiled_bids,county,month
NH 1602(247),3001,1000 WORKING DAYS,85290427.93,12/1/2016,0.39,WILLIAMS BROTHERS CONSTRUCTION CO. INC.,73929401.69,7,13677444.11,"PULICE CONSTRUCTION INC. | $83,702,317.31; THE LANE CONSTRUCTION CORPORATION | $84,156,037.80; WILLIAMS BROTHERS CONSTRUCTION CO. INC. | $73,929,401.69; FLATIRON CONSTRUCTORS INC. | $79,922,832.75; WEBBER LLC | $87,606,845.80; ZACHRY CONSTRUCTION CORPORATION | $85,982,411.71; MCCARTHY BUILDING COMPANIES INC. | $86,132,345.12",BEXAR,12
NH 2017(364),3005,70 WORKING DAYS,9271227,12/1/2016,245.978,LIPHAM ASPHALT AND PAVING COMPANY LLC,8458527.23,4,980483.12,"NORTHEASTERN PAVERS INC. | $8,685,268.42; MISSOURI PETROLEUM PRODUCTS COMPANY LLC | $9,108,664.77; BRANNAN PAVING CO. LTD. | $9,439,010.35; LIPHAM ASPHALT AND PAVING COMPANY LLC | $8,458,527.23",CALLAHAN,12
STP 2017(304),3007,50 WORKING DAYS,1897861.9,12/1/2016,24.044,COX PAVING OF TEXAS INC.,1878411.95,3,175059.81,"ANGEL BROTHERS HOLDINGS CORP. | $1,943,102.50; CLARK CONSTRUCTION OF TEXAS INC. | $2,053,471.76; COX PAVING OF TEXAS INC. | $1,878,411.95",SAN PATRICIO,12
STP 2017(336)HESG,3008,90 WORKING DAYS,926589.24,12/1/2016,84.957,STRIPE-A-ZONE INC.,814705.32,4,369169.29,"STRIPING TECHNOLOGY L.P. | $978,681.96; TRP CONSTRUCTION GROUP LLC | $1,145,234.66; TOTAL HIGHWAY MAINTENANCE LLC | $1,183,874.61; STRIPE-A-ZONE INC. | $814,705.32",HARRISON,12
NH 2017(152),3009,159 WORKING DAYS,8480601.48,12/1/2016,4.276,ANGEL BROTHERS HOLDINGS CORP.,6295132.13,4,753615.94,"HUNTER INDUSTRIES LTD. | $6,750,845.50; CLARK CONSTRUCTION OF TEXAS INC. | $6,857,064.47; AUSTIN MATERIALS LLC | $7,048,748.07; ANGEL BROTHERS HOLDINGS CORP. | $6,295,132.13",COMAL,12
NH 2017(352),3010,65 WORKING DAYS,8432162.25,12/1/2016,230.447,BRANNAN PAVING CO. LTD.,8807758.17,2,407097.19,"BRANNAN PAVING CO. LTD. | $8,807,758.17; MISSOURI PETROLEUM PRODUCTS COMPANY LLC | $9,214,855.36",HUNT,12
STP 2017(319)HES,3011,45 WORKING DAYS,353138.4,12/1/2016,0.002,TRAF-TEX INC.,306857.45,3,78342.16,"THIRD COAST SERVICES LLC | $339,457.52; STATEWIDE TRAFFIC SIGNAL COMPANY | $385,199.61; TRAF-TEX INC. | $306,857.45",MATAGORDA,12
NH 2017(399),3012,51 WORKING DAYS,4023873.06,12/1/2016,7.628,ZACK BURKETT CO.,3440613.52,4,2132726.68,"AUSTIN BRIDGE & ROAD SERVICES LP | $3,636,072.77; DUININCK INC. | $4,269,744.86; KIEWIT INFRASTRUCTURE SOUTH CO. | $5,573,340.20; ZACK BURKETT CO. | $3,440,613.52",WICHITA,12
STP 2017(370)HES,3013,32 WORKING DAYS,142466.76,12/1/2016,0.1,OPPORTUNITY EXCAVATION/CONCRETE LLC,171970.75,3,283966.77,"J. LEE MILLIGAN INC. | $230,939.50; RK HALL LLC | $455,937.52; OPPORTUNITY EXCAVATION/CONCRETE LLC | $171,970.75",DICKENS,12
STP 2017(333)HES,3015,203 WORKING DAYS,652636.48,12/1/2016,0.009,TEXAS TRAFFIC CONTROL SYSTEMS INC.,566437.35,4,136744.68,"STRIPING TECHNOLOGY L.P. | $570,658.95; DURABLE SPECIALTIES INC. | $575,000.00; AMERICAN LIGHTING AND SIGNALIZATION INC. | $703,182.03; TEXAS TRAFFIC CONTROL SYSTEMS INC. | $566,437.35",BOWIE,12
CC 271-5-42,3017,151 WORKING DAYS,2440647.1,12/1/2016,0.934,ISI CONTRACTING INC.,2297994.98,11,1805291.87,"MAIN LANE INDUSTRIES LTD. | $2,436,500.00; FNH CONSTRUCTION LLC | $4,103,286.85; ARANDA BROTHERS CONSTRUCTION CO. INC. | $2,968,534.95; ANGEL BROTHERS HOLDINGS CORP. | $2,466,376.97; ISI CONTRACTING INC. | $2,297,994.98; DURWOOD GREENE CONSTRUCTION CO. | $2,515,350.10; JOHN REED AND COMPANY LLC | $3,046,812.94; HASSELL CONSTRUCTION COMPANY INC. | $2,427,497.89; TRIPLE B SERVICES LLP | $2,546,304.95; TLC TRUCKING & CONTRACTING INC. | $2,498,877.33; ALTUS CONSTRUCTION LLC | $3,054,071.92",FORT BEND,12
